"","ANGER","ANXIETY","BAD","BITTER","BLACK","BLUE","BRIGHT","BROWN","COOKED","DARK","DESIRE","ENVY","FEAR","FRESH","GLOOMY","GOOD","GREEN","GRIEF","HAPPY","HATE","HOPE","JOY","LIGHT","LIKE","LOVE","MERRY","ORANGE","PITY","PROUD","PURPLE","RAW","RED","REGRET","RIPE","ROTTEN","SAD","SALT","SALTY","SHAME","SOUR","SPICY","SURPRISED","SWEET","TASTE","UNRIPE","WANT","WHITE","WORRY","YELLOW","GREY","TASTY"
"GLOOMY",0.659651360544218,0.670280612244898,0.669642857142857,0.453443877551021,0.448762483716891,0.597151360544218,0.479591836734694,0.15391156462585,0.0714285714285716,0.758651286601597,0.336734693877551,0.528172138420586,0.752551020408163,0.152173913043478,1,0.228397742075554,0.0833695180199739,0.706035605731655,0.474489795918367,0.53656462585034,0.346938775510204,0.371386054421769,0.365392965696917,0.218627876682588,0.26764455782313,0.50998697351281,0.0842379504993487,0.648936170212766,0.371173469387755,0.123724489795918,0.195578231292517,0.147163120567376,0.650085034013606,0.0735996526270082,0.530612244897959,0.88125,0.0416666666666667,0.255102040816327,0.588731144631766,0.397959183673469,0.23114463176575,0.408163265306122,0.16866134751773,0.0838037342596611,0.257865646258504,0.267857142857143,0.0722789115646258,0.683673469387755,0.102040816326531,0.479166666666667,0.144557823129252
"GOOD",0.263297872340426,0.329931972789115,0.677160225792445,0.206207482993197,0.102465986394558,0.0616587060356059,0.422193877551021,0.0631648936170213,0.36495874945723,0.12672045562411,0.45809813287017,0.299107142857143,0.379991126885537,0.63265306122449,0.228397742075554,1,0.153061224489796,0.270950933564916,0.842280390417036,0.414676508901433,0.737950499348676,0.773171768707483,0.438775510204081,0.650566893424037,0.717976552323057,0.728614850195397,0.123724489795918,0.309098639455783,0.663265306122449,0.0927051671732523,0.204081632653062,0.113732993197279,0.284574468085107,0.479166666666667,0.361181972789115,0.5,0.216624149659864,0.229266174554928,0.356255545696539,0.250108554059922,0.302431610942249,0.584020842379505,0.605297438124186,0.406610470275066,0.215773809523809,0.391369047619048,0.188449848024316,0.346938775510204,0.103528911564626,0.166304819800261,0.649659863945579
"GREEN",0.0418882978723404,0,0.0204081632653061,0.105978260869565,0.787755102040816,0.917701863354037,0.483377659574468,0.812418584455058,0.301110083256244,0.381859410430839,0.0408163265306122,0.400044326241135,0.0421099290780142,0.459183673469387,0.0833695180199739,0.153061224489796,1,0.126108156028369,0.0616496598639455,0.053191489361702,0.0528344671201813,0.0629432624113476,0.392006802721089,0.115691489361702,0.0838037342596611,0.113732993197279,0.824192176870748,0.0826955782312926,0.112244897959184,0.874945722970039,0.361607142857143,0.927721088435374,0.0217803030303031,0.445804988662131,0.226828231292517,0.075421472937001,0.209726443768997,0.163265306122449,0.03125,0.216624149659864,0.218193660442901,0.0421195652173913,0.270138888888889,0.134141156462585,0.515735815602837,0.0321557971014493,0.781680113906027,0.0308248299319729,0.882978723404256,0.776643990929705,0.244897959183674
"GRIEF",0.73469387755102,0.862810283687943,0.72172619047619,0.510204081632653,0.23703231292517,0.260312635692575,0.133928571428572,0.0520833333333333,0.114850195397308,0.448328267477204,0.438775510204082,0.724489795918367,0.780937907077725,0.0625271385149804,0.706035605731655,0.270950933564916,0.126108156028369,1,0.447916666666667,0.66921768707483,0.464404366397722,0.453416149068323,0.104211897524968,0.290924880590534,0.47406462585034,0.360544217687074,0.0625,0.79421768707483,0.469170646982198,0.0306122448979591,0.244897959183673,0.0722789115646258,0.749023013460703,0.11756876663709,0.382227891156462,0.937444543034605,0.148049645390071,0.189662821650399,0.721938775510204,0.316326530612245,0.0738031914893617,0.448328267477204,0.126551418439717,0.123937074829932,0.117300724637682,0.389406028368794,0.0918367346938778,0.742134353741496,0.0618622448979591,0.306122448979592,0.0839982269503547
"HAPPY",0.561224489795918,0.393617021276595,0.467120181405896,0.231382978723404,0.114850195397308,0.250887311446317,0.742984693877551,0.0308248299319729,0.0940078158923142,0.148936170212766,0.621675531914893,0.426183239253148,0.443027210884354,0.369015957446808,0.474489795918367,0.842280390417036,0.0616496598639455,0.447916666666667,1,0.464285714285715,0.806122448979592,0.957890070921986,0.433673469387755,0.755328798185941,0.791925465838509,0.903628117913832,0.126108156028369,0.316326530612245,0.812418584455058,0.105718085106383,0.0816326530612245,0.0612244897959184,0.332638888888889,0.116903283052351,0.103103741496599,0.556787932564331,0.124362244897959,0.144557823129252,0.36790780141844,0.145833333333333,0.216198979591837,0.75,0.454506802721088,0.274379432624114,0.0729166666666667,0.442154255319149,0.134141156462585,0.515971606033718,0.125054277029961,0.0826955782312926,0.387755102040816
"HATE",0.938775510204082,0.677160225792445,0.666521927920104,0.607780612244898,0.197916666666667,0.150092506938021,0.113732993197279,0.0208423795049935,0.0629613547546679,0.447619047619048,0.50377107364685,0.720663265306122,0.825255102040817,0.0833333333333335,0.53656462585034,0.414676508901433,0.053191489361702,0.66921768707483,0.464285714285715,1,0.583152409900131,0.535501700680272,0.135416666666667,0.655883630047764,0.698658649398705,0.418367346938776,0,0.673469387755102,0.463222789115646,0.0208333333333334,0.142857142857143,0.15,0.660501700680272,0.134566326530612,0.375,0.753188775510204,0.13265306122449,0.217759444203213,0.724489795918367,0.278061224489796,0.191576086956522,0.4375,0.207386363636363,0.171428571428571,0.202528837622005,0.447916666666667,0.115572315882875,0.641371158392435,0.0102040816326531,0.145833333333334,0.141929499072356
"HOPE",0.395833333333333,0.489795918367347,0.285714285714286,0.23114463176575,0.0924744897959185,0.13265306122449,0.581632653061225,0.0520833333333333,0.113520408163266,0.26530612244898,0.861904761904762,0.503174603174603,0.515518707482993,0.285714285714286,0.346938775510204,0.737950499348676,0.0528344671201813,0.464404366397722,0.806122448979592,0.583152409900131,1,0.886692176870748,0.56187581415545,0.639668367346939,0.883096716947649,0.735581188997338,0.0944986690328307,0.422406462585034,0.757985803016858,0.09375,0.136968085106383,0.0612244897959184,0.47641723356009,0.234693877551021,0.114583333333334,0.448328267477204,0.0638586956521739,0.0614370748299322,0.392063492063493,0.0926870748299322,0.125,0.573816760746852,0.285714285714286,0.185586734693877,0.0836291038154394,0.614583333333333,0.166739036039948,0.413265306122449,0.105080330004342,0.114583333333334,0.185586734693877
"JOY",0.510421189752497,0.469387755102041,0.41765543426673,0.210771276595745,0.0306122448979592,0.156969170646982,0.618506493506493,0.0527572731220148,0.126441881100266,0.14751552795031,0.700892857142857,0.520408163265306,0.582283977420756,0.384064264003474,0.371386054421769,0.773171768707483,0.0629432624113476,0.453416149068323,0.957890070921986,0.535501700680272,0.886692176870748,1,0.415979157620495,0.658956916099773,0.838775510204081,0.904170363797693,0.136561007381676,0.40625,0.835034013605442,0.0966697502312673,0.0842198581560284,0.0625271385149804,0.484693877551021,0.237457482993197,0.0724914965986397,0.53656914893617,0.0512329931972789,0.0964749536178109,0.437689969604864,0.136524822695035,0.193877551020408,0.785714285714286,0.428571428571429,0.211401952085182,0.0638864241348714,0.433460884353742,0.127772848269743,0.50531462585034,0.113547546678246,0.0948581560283687,0.348404255319149
"LIGHT",0.113520408163266,0.123511904761905,0.144982993197279,0.113732993197279,0.479166666666667,0.416666666666667,0.88558402084238,0.426617455492835,0.293877551020408,0.820652173913043,0.257865646258504,0.073581560283688,0.13265306122449,0.614512471655329,0.365392965696917,0.438775510204081,0.392006802721089,0.104211897524968,0.433673469387755,0.135416666666667,0.56187581415545,0.415979157620495,1,0.306122448979592,0.495323129251701,0.463209219858156,0.346051464063886,0.0722789115646258,0.184736394557824,0.473426870748299,0.21875,0.426617455492835,0.0612244897959184,0.322916666666667,0.103316326530612,0.188015631784628,0.330163043478261,0.37559704732957,0.0733599290780143,0.196428571428572,0.275510204081633,0.270833333333333,0.454081632653061,0.321102909248806,0.23816760746852,0.208333333333333,0.739583333333333,0.114583333333334,0.639243197278912,0.469387755102041,0.315439219165927
"LIKE",0.295918367346939,0.332609639600521,0.377551020408163,0.176943117672601,0.0510204081632653,0.123724489795918,0.348526077097505,0.0102040816326531,0.145028224055579,0.165391156462585,0.791576204950065,0.392431972789115,0.33014455782313,0.321971341728181,0.218627876682588,0.650566893424037,0.115691489361702,0.290924880590534,0.755328798185941,0.655883630047764,0.639668367346939,0.658956916099773,0.306122448979592,1,0.895788102475032,0.521493703864525,0.0416666666666667,0.343432007400555,0.595011337868481,0.0310374149659864,0.0722970039079464,0.0308248299319729,0.411352040816326,0.23703231292517,0.126984126984127,0.316770186335404,0.154549319727891,0.177083333333333,0.320199275362319,0.165603741496599,0.175382653061224,0.615067303517152,0.413052721088435,0.378767730496454,0.0727312201476335,0.773809523809524,0.183673469387756,0.326530612244898,0.0527482269503546,0.0714285714285716,0.470039079461572
"LOVE",0.573382544507165,0.380952380952381,0.277848639455782,0.177811550151976,0.10603371783496,0.105496453900709,0.418367346938776,0.0102040816326531,0.154336734693877,0.158385093167702,0.822622666087711,0.563612679114199,0.50531914893617,0.334780720798958,0.26764455782313,0.717976552323057,0.0838037342596611,0.47406462585034,0.791925465838509,0.698658649398705,0.883096716947649,0.838775510204081,0.495323129251701,0.895788102475032,1,0.744897959183674,0.0418882978723404,0.489795918367347,0.75,0.143920068027211,0.154549319727891,0.200576241134752,0.516637089618456,0.216836734693877,0.125488493269649,0.482697426796805,0.105274822695036,0.135416666666667,0.418367346938776,0.102040816326531,0.158466312056738,0.489795918367347,0.504464285714285,0.219062092922275,0.0529698581560284,0.59375,0.136126791141989,0.504676870748299,0.0614370748299322,0.0514455782312924,0.196003401360544
