"","ANGER","ANXIETY","BAD","BITTER","BLACK","BLUE","BRIGHT","BROWN","COOKED","DARK","DESIRE","ENVY","FEAR","FRESH","GLOOMY","GOOD","GREEN","GRIEF","HAPPY","HATE","HOPE","JOY","LIGHT","LIKE","LOVE","MERRY","ORANGE","PITY","PROUD","PURPLE","RAW","RED","REGRET","RIPE","ROTTEN","SAD","SALT","SALTY","SHAME","SOUR","SPICY","SURPRISED","SWEET","TASTE","UNRIPE","WANT","WHITE","WORRY","YELLOW","GREY","TASTY"
"DESIRE",0.574468085106383,0.469387755102041,0.25531914893617,0.163265306122449,0.0416666666666666,0.0638297872340425,0.369565217391304,0.0204081632653061,0.125,0.276595744680851,1,0.652173913043478,0.431818181818182,0.26530612244898,0.387755102040816,0.446808510638298,0.0204081632653061,0.428571428571429,0.680851063829787,0.456521739130435,0.866666666666667,0.6875,0.270833333333333,0.787234042553192,0.808510638297872,0.5625,0.0208333333333334,0.479166666666667,0.608695652173913,0.0434782608695652,0.234042553191489,0.0833333333333334,0.521739130434783,0.217391304347826,0.170212765957447,0.469387755102041,0.0909090909090909,0.229166666666667,0.468085106382979,0.136363636363636,0.25,0.553191489361702,0.361702127659574,0.382978723404255,0.0434782608695652,0.833333333333333,0.1875,0.458333333333333,0.0851063829787234,0,0.36734693877551
"ENVY",0.723404255319149,0.755102040816326,0.387755102040816,0.583333333333333,0.155555555555556,0.127659574468085,0.104166666666667,0.0416666666666666,0.130434782608696,0.26530612244898,0.652173913043478,1,0.63265306122449,0.0851063829787234,0.58695652173913,0.3125,0.404255319148936,0.775510204081633,0.382978723404255,0.625,0.577777777777778,0.530612244897959,0.0833333333333334,0.458333333333333,0.617021276595745,0.25,0.0208333333333334,0.666666666666667,0.479166666666667,0.0638297872340425,0.244897959183674,0.166666666666667,0.5625,0.0638297872340425,0.333333333333333,0.51063829787234,0.145833333333333,0.270833333333333,0.673469387755102,0.326530612244898,0.0612244897959183,0.446808510638298,0.1875,0.108695652173913,0.0869565217391305,0.63265306122449,0.0204081632653061,0.659574468085106,0.148936170212766,0.142857142857143,0.204081632653061
"FEAR",0.854166666666667,0.866666666666667,0.541666666666667,0.416666666666667,0.13953488372093,0.208333333333333,0.260869565217391,0.0638297872340425,0.106382978723404,0.666666666666667,0.431818181818182,0.63265306122449,1,0.166666666666667,0.75,0.41304347826087,0.0425531914893617,0.765957446808511,0.416666666666667,0.775510204081633,0.520833333333333,0.531914893617021,0.142857142857143,0.354166666666667,0.51063829787234,0.346938775510204,0,0.6875,0.590909090909091,0.0434782608695652,0.295454545454545,0.142857142857143,0.795918367346939,0.125,0.25,0.787234042553192,0.111111111111111,0.195652173913043,0.847826086956522,0.191489361702128,0.142857142857143,0.577777777777778,0.0652173913043478,0.170212765957447,0.102040816326531,0.416666666666667,0.0652173913043478,0.916666666666667,0.0625,0.25531914893617,0.104166666666667
"FRESH",0.0416666666666666,0.212765957446808,0.306122448979592,0.375,0.0612244897959183,0.106382978723404,0.489795918367347,0.2,0.787234042553192,0.2,0.26530612244898,0.0851063829787234,0.166666666666667,1,0.195652173913043,0.591836734693878,0.408163265306122,0.0638297872340425,0.425531914893617,0.0625,0.326530612244898,0.319148936170213,0.555555555555556,0.276595744680851,0.404255319148936,0.416666666666667,0.333333333333333,0.0869565217391305,0.347826086956522,0.170212765957447,0.75,0.229166666666667,0.0888888888888889,0.808510638297872,0.638297872340426,0.0434782608695652,0.553191489361702,0.553191489361702,0.0851063829787234,0.541666666666667,0.5625,0.391304347826087,0.711111111111111,0.666666666666667,0.591836734693878,0.166666666666667,0.375,0.125,0.1875,0.145833333333333,0.772727272727273
"GLOOMY",0.645833333333333,0.653061224489796,0.625,0.4375,0.48936170212766,0.520833333333333,0.448979591836735,0.0833333333333334,0.0408163265306123,0.782608695652174,0.387755102040816,0.58695652173913,0.75,0.195652173913043,1,0.191489361702128,0.0851063829787234,0.595744680851064,0.448979591836735,0.583333333333333,0.346938775510204,0.395833333333333,0.404255319148936,0.212765957446808,0.229166666666667,0.530612244897959,0.127659574468085,0.638297872340426,0.375,0.125,0.166666666666667,0.127659574468085,0.708333333333333,0.106382978723404,0.530612244897959,0.866666666666667,0.0625,0.26530612244898,0.565217391304348,0.346938775510204,0.217391304347826,0.428571428571429,0.191489361702128,0.106382978723404,0.270833333333333,0.25,0.0833333333333334,0.714285714285714,0.122448979591837,0.458333333333333,0.166666666666667
"GOOD",0.25,0.333333333333333,0.680851063829787,0.208333333333333,0.163265306122449,0.0212765957446809,0.375,0.0638297872340425,0.382978723404255,0.0697674418604651,0.446808510638298,0.3125,0.41304347826087,0.591836734693878,0.191489361702128,1,0.163265306122449,0.276595744680851,0.847826086956522,0.319148936170213,0.659574468085106,0.770833333333333,0.36734693877551,0.688888888888889,0.680851063829787,0.702127659574468,0.125,0.291666666666667,0.673469387755102,0.0425531914893617,0.26530612244898,0.145833333333333,0.319148936170213,0.5625,0.395833333333333,0.469387755102041,0.229166666666667,0.234042553191489,0.304347826086957,0.25531914893617,0.319148936170213,0.617021276595745,0.659574468085106,0.282608695652174,0.145833333333333,0.354166666666667,0.234042553191489,0.346938775510204,0.145833333333333,0.148936170212766,0.666666666666667
"GREEN",0.0212765957446809,0,0,0.0869565217391305,0.8,0.978260869565217,0.404255319148936,0.808510638297872,0.304347826086957,0.355555555555556,0.0204081632653061,0.404255319148936,0.0425531914893617,0.408163265306122,0.0851063829787234,0.163265306122449,1,0.106382978723404,0.0416666666666666,0.106382978723404,0.0444444444444444,0.0425531914893617,0.416666666666667,0.106382978723404,0.106382978723404,0.145833333333333,0.770833333333333,0.0612244897959183,0.0816326530612245,0.872340425531915,0.4375,0.916666666666667,0.0227272727272727,0.422222222222222,0.224489795918367,0.130434782608696,0.276595744680851,0.142857142857143,0.0625,0.229166666666667,0.191489361702128,0.0217391304347826,0.311111111111111,0.145833333333333,0.51063829787234,0.0434782608695652,0.767441860465116,0.0208333333333334,0.872340425531915,0.777777777777778,0.224489795918367
"GRIEF",0.73469387755102,0.829787234042553,0.714285714285714,0.530612244897959,0.229166666666667,0.25531914893617,0.125,0.0625,0.127659574468085,0.468085106382979,0.428571428571429,0.775510204081633,0.765957446808511,0.0638297872340425,0.595744680851064,0.276595744680851,0.106382978723404,1,0.4375,0.583333333333333,0.418604651162791,0.478260869565217,0.106382978723404,0.25531914893617,0.458333333333333,0.333333333333333,0.0833333333333334,0.833333333333333,0.48936170212766,0,0.204081632653061,0.0833333333333334,0.702127659574468,0.173913043478261,0.458333333333333,0.956521739130435,0.212765957446808,0.195652173913043,0.75,0.306122448979592,0.0851063829787234,0.468085106382979,0.148936170212766,0.145833333333333,0.130434782608696,0.382978723404255,0.0816326530612245,0.729166666666667,0.0625,0.36734693877551,0.0638297872340425
"HAPPY",0.571428571428571,0.425531914893617,0.444444444444444,0.212765957446808,0.127659574468085,0.195652173913043,0.8125,0.0208333333333334,0.106382978723404,0.148936170212766,0.680851063829787,0.382978723404255,0.416666666666667,0.425531914893617,0.448979591836735,0.847826086956522,0.0416666666666666,0.4375,1,0.5,0.795918367346939,0.957446808510638,0.5,0.755555555555556,0.869565217391304,0.888888888888889,0.145833333333333,0.26530612244898,0.808510638297872,0.0625,0.0816326530612245,0.0816326530612245,0.311111111111111,0.152173913043478,0.104166666666667,0.521739130434783,0.1875,0.166666666666667,0.319148936170213,0.166666666666667,0.1875,0.75,0.541666666666667,0.340425531914894,0.0625,0.446808510638298,0.145833333333333,0.521739130434783,0.127659574468085,0.0612244897959183,0.408163265306122
"HATE",0.959183673469388,0.680851063829787,0.659574468085106,0.5625,0.145833333333333,0.108695652173913,0.145833333333333,0.0212765957446809,0.0851063829787234,0.466666666666667,0.456521739130435,0.625,0.775510204081633,0.0625,0.583333333333333,0.319148936170213,0.106382978723404,0.583333333333333,0.5,1,0.574468085106383,0.479166666666667,0.1875,0.638297872340426,0.673913043478261,0.489795918367347,0,0.693877551020408,0.395833333333333,0.0208333333333334,0.142857142857143,0.133333333333333,0.729166666666667,0.1875,0.333333333333333,0.8125,0.142857142857143,0.170212765957447,0.73469387755102,0.25,0.195652173913043,0.458333333333333,0.227272727272727,0.2,0.282608695652174,0.4375,0.108695652173913,0.644444444444444,0,0.104166666666667,0.181818181818182
"HOPE",0.479166666666667,0.448979591836735,0.285714285714286,0.217391304347826,0.0625,0.0816326530612245,0.63265306122449,0.0416666666666666,0.125,0.26530612244898,0.866666666666667,0.577777777777778,0.520833333333333,0.326530612244898,0.346938775510204,0.659574468085106,0.0444444444444444,0.418604651162791,0.795918367346939,0.574468085106383,1,0.895833333333333,0.531914893617021,0.6875,0.847826086956522,0.695652173913043,0.0869565217391305,0.395833333333333,0.760869565217391,0.0625,0.148936170212766,0.0816326530612245,0.422222222222222,0.224489795918367,0.104166666666667,0.468085106382979,0.0652173913043478,0.0208333333333334,0.355555555555556,0.0833333333333334,0.1875,0.617021276595745,0.285714285714286,0.1875,0.0652173913043478,0.583333333333333,0.170212765957447,0.5,0.148936170212766,0.125,0.183673469387755
"JOY",0.51063829787234,0.469387755102041,0.488372093023256,0.234042553191489,0.0408163265306123,0.191489361702128,0.522727272727273,0.0851063829787234,0.130434782608696,0.152173913043478,0.6875,0.530612244897959,0.531914893617021,0.319148936170213,0.395833333333333,0.770833333333333,0.0425531914893617,0.478260869565217,0.957446808510638,0.479166666666667,0.895833333333333,1,0.382978723404255,0.644444444444444,0.8,0.869565217391304,0.191489361702128,0.458333333333333,0.833333333333333,0.0869565217391305,0.0851063829787234,0.0638297872340425,0.5,0.270833333333333,0.104166666666667,0.51063829787234,0.0816326530612245,0.0909090909090909,0.446808510638298,0.106382978723404,0.163265306122449,0.755102040816326,0.428571428571429,0.239130434782609,0.0869565217391305,0.479166666666667,0.173913043478261,0.520833333333333,0.0638297872340425,0.0833333333333334,0.25
"LIGHT",0.102040816326531,0.142857142857143,0.208333333333333,0.145833333333333,0.479166666666667,0.4375,0.893617021276596,0.404255319148936,0.2,0.891304347826087,0.270833333333333,0.0833333333333334,0.142857142857143,0.555555555555556,0.404255319148936,0.36734693877551,0.416666666666667,0.106382978723404,0.5,0.1875,0.531914893617021,0.382978723404255,1,0.244897959183674,0.448979591836735,0.468085106382979,0.304347826086957,0.0833333333333334,0.104166666666667,0.395833333333333,0.208333333333333,0.404255319148936,0.0816326530612245,0.3125,0.125,0.212765957446808,0.347826086956522,0.404255319148936,0.0425531914893617,0.25,0.244897959183674,0.270833333333333,0.5,0.234042553191489,0.170212765957447,0.25,0.729166666666667,0.104166666666667,0.645833333333333,0.428571428571429,0.304347826086957
"LIKE",0.285714285714286,0.297872340425532,0.346938775510204,0.170212765957447,0.0408163265306123,0.125,0.288888888888889,0.0204081632653061,0.106382978723404,0.122448979591837,0.787234042553192,0.458333333333333,0.354166666666667,0.276595744680851,0.212765957446808,0.688888888888889,0.106382978723404,0.25531914893617,0.755555555555556,0.638297872340426,0.6875,0.644444444444444,0.244897959183674,1,0.893617021276596,0.553191489361702,0.0833333333333334,0.404255319148936,0.577777777777778,0.0416666666666666,0.0425531914893617,0.0208333333333334,0.510204081632653,0.244897959183674,0.111111111111111,0.347826086956522,0.145833333333333,0.208333333333333,0.369565217391304,0.102040816326531,0.1875,0.638297872340426,0.479166666666667,0.395833333333333,0.0638297872340425,0.714285714285714,0.122448979591837,0.346938775510204,0.0638297872340425,0.102040816326531,0.531914893617021
"LOVE",0.595744680851064,0.333333333333333,0.229166666666667,0.212765957446808,0.130434782608696,0.127659574468085,0.408163265306122,0,0.183673469387755,0.173913043478261,0.808510638297872,0.617021276595745,0.51063829787234,0.404255319148936,0.229166666666667,0.680851063829787,0.106382978723404,0.458333333333333,0.869565217391304,0.673913043478261,0.847826086956522,0.8,0.448979591836735,0.893617021276596,1,0.693877551020408,0.0212765957446809,0.489795918367347,0.75,0.104166666666667,0.145833333333333,0.25531914893617,0.543478260869565,0.25,0.148936170212766,0.434782608695652,0.106382978723404,0.166666666666667,0.408163265306122,0.163265306122449,0.212765957446808,0.469387755102041,0.4375,0.234042553191489,0.0851063829787234,0.583333333333333,0.170212765957447,0.458333333333333,0.0208333333333334,0.0416666666666666,0.208333333333333
"MERRY",0.395833333333333,0.276595744680851,0.431818181818182,0.361702127659574,0.0434782608695652,0.145833333333333,0.739130434782609,0.0625,0.0816326530612245,0.106382978723404,0.5625,0.25,0.346938775510204,0.416666666666667,0.530612244897959,0.702127659574468,0.145833333333333,0.333333333333333,0.888888888888889,0.489795918367347,0.695652173913043,0.869565217391304,0.468085106382979,0.553191489361702,0.693877551020408,1,0.111111111111111,0.382978723404255,0.5625,0.170212765957447,0.130434782608696,0.208333333333333,0.25531914893617,0.166666666666667,0.170212765957447,0.533333333333333,0.108695652173913,0.152173913043478,0.361702127659574,0.224489795918367,0.183673469387755,0.595744680851064,0.531914893617021,0.166666666666667,0.125,0.347826086956522,0.26530612244898,0.448979591836735,0.130434782608696,0.108695652173913,0.306122448979592
"ORANGE",0.0208333333333334,0,0.0208333333333334,0.173913043478261,0.702127659574468,0.854166666666667,0.36734693877551,0.872340425531915,0.395833333333333,0.466666666666667,0.0208333333333334,0.0208333333333334,0,0.333333333333333,0.127659574468085,0.125,0.770833333333333,0.0833333333333334,0.145833333333333,0,0.0869565217391305,0.191489361702128,0.304347826086957,0.0833333333333334,0.0212765957446809,0.111111111111111,1,0,0.0408163265306123,0.826086956521739,0.297872340425532,0.791666666666667,0.0204081632653061,0.574468085106383,0.208333333333333,0.0833333333333334,0.333333333333333,0.285714285714286,0,0.375,0.3125,0.0638297872340425,0.404255319148936,0.41304347826087,0.416666666666667,0.0217391304347826,0.702127659574468,0.0204081632653061,0.854166666666667,0.6875,0.466666666666667
"PITY",0.653061224489796,0.608695652173913,0.5625,0.375,0.0851063829787234,0.191489361702128,0.127659574468085,0.127659574468085,0.0408163265306123,0.346938775510204,0.479166666666667,0.666666666666667,0.6875,0.0869565217391305,0.638297872340426,0.291666666666667,0.0612244897959183,0.833333333333333,0.26530612244898,0.693877551020408,0.395833333333333,0.458333333333333,0.0833333333333334,0.404255319148936,0.489795918367347,0.382978723404255,0,1,0.638297872340426,0.0416666666666666,0.234042553191489,0.0416666666666666,0.795918367346939,0.122448979591837,0.377777777777778,0.6875,0.26530612244898,0.222222222222222,0.755555555555556,0.159090909090909,0.1875,0.469387755102041,0.170212765957447,0.0833333333333334,0.208333333333333,0.4375,0.0425531914893617,0.729166666666667,0.0416666666666666,0.0833333333333334,0.239130434782609
"PROUD",0.489795918367347,0.395833333333333,0.434782608695652,0.26530612244898,0.125,0.108695652173913,0.5,0.0833333333333334,0.166666666666667,0.125,0.608695652173913,0.479166666666667,0.590909090909091,0.347826086956522,0.375,0.673469387755102,0.0816326530612245,0.48936170212766,0.808510638297872,0.395833333333333,0.760869565217391,0.833333333333333,0.104166666666667,0.577777777777778,0.75,0.5625,0.0408163265306123,0.638297872340426,1,0.166666666666667,0.0625,0.0204081632653061,0.456521739130435,0.145833333333333,0.0833333333333334,0.51063829787234,0.0434782608695652,0.208333333333333,0.595744680851064,0.229166666666667,0.166666666666667,0.714285714285714,0.319148936170213,0.145833333333333,0.104166666666667,0.387755102040816,0.0625,0.469387755102041,0.108695652173913,0.0625,0.208333333333333
"PURPLE",0.0204081632653061,0.0638297872340425,0.0416666666666666,0.0408163265306123,0.826086956521739,0.851063829787234,0.391304347826087,0.782608695652174,0.170212765957447,0.446808510638298,0.0434782608695652,0.0638297872340425,0.0434782608695652,0.170212765957447,0.125,0.0425531914893617,0.872340425531915,0,0.0625,0.0208333333333334,0.0625,0.0869565217391305,0.395833333333333,0.0416666666666666,0.104166666666667,0.170212765957447,0.826086956521739,0.0416666666666666,0.166666666666667,1,0.102040816326531,0.875,0.0408163265306123,0.234042553191489,0.170212765957447,0.0416666666666666,0.0638297872340425,0.0652173913043478,0.0638297872340425,0.0816326530612245,0.106382978723404,0.127659574468085,0.130434782608696,0.0652173913043478,0.111111111111111,0.0612244897959183,0.729166666666667,0.0612244897959183,0.869565217391304,0.826086956521739,0.152173913043478
"RAW",0.319148936170213,0.291666666666667,0.387755102040816,0.622222222222222,0.208333333333333,0.0888888888888889,0.136363636363636,0.260869565217391,0.777777777777778,0.311111111111111,0.234042553191489,0.244897959183674,0.295454545454545,0.75,0.166666666666667,0.26530612244898,0.4375,0.204081632653061,0.0816326530612245,0.142857142857143,0.148936170212766,0.0851063829787234,0.208333333333333,0.0425531914893617,0.145833333333333,0.130434782608696,0.297872340425532,0.234042553191489,0.0625,0.102040816326531,1,0.395833333333333,0.270833333333333,0.723404255319149,0.680851063829787,0.234042553191489,0.574468085106383,0.666666666666667,0.183673469387755,0.613636363636364,0.6875,0.217391304347826,0.531914893617021,0.531914893617021,0.836734693877551,0.130434782608696,0.155555555555556,0.270833333333333,0.0612244897959183,0.127659574468085,0.604651162790698
"RED",0.361702127659574,0.125,0.0816326530612245,0.130434782608696,0.74468085106383,0.91304347826087,0.4,0.795918367346939,0.285714285714286,0.456521739130435,0.0833333333333334,0.166666666666667,0.142857142857143,0.229166666666667,0.127659574468085,0.145833333333333,0.916666666666667,0.0833333333333334,0.0816326530612245,0.133333333333333,0.0816326530612245,0.0638297872340425,0.404255319148936,0.0208333333333334,0.25531914893617,0.208333333333333,0.791666666666667,0.0416666666666666,0.0204081632653061,0.875,0.395833333333333,1,0.127659574468085,0.408163265306122,0.170212765957447,0.0612244897959183,0.145833333333333,0.170212765957447,0.0869565217391305,0.136363636363636,0.395833333333333,0.0638297872340425,0.0454545454545454,0.106382978723404,0.25,0.0212765957446809,0.808510638297872,0.0851063829787234,0.875,0.702127659574468,0.173913043478261
"REGRET",0.765957446808511,0.75,0.574468085106383,0.5625,0.148936170212766,0.177777777777778,0.0638297872340425,0.148936170212766,0.0416666666666666,0.326530612244898,0.521739130434783,0.5625,0.795918367346939,0.0888888888888889,0.708333333333333,0.319148936170213,0.0227272727272727,0.702127659574468,0.311111111111111,0.729166666666667,0.422222222222222,0.5,0.0816326530612245,0.510204081632653,0.543478260869565,0.25531914893617,0.0204081632653061,0.795918367346939,0.456521739130435,0.0408163265306123,0.270833333333333,0.127659574468085,1,0.148936170212766,0.276595744680851,0.739130434782609,0.173913043478261,0.208333333333333,0.877551020408163,0.244897959183674,0.122448979591837,0.48936170212766,0.108695652173913,0.0833333333333334,0.270833333333333,0.468085106382979,0.0425531914893617,0.75,0.0208333333333334,0.122448979591837,0.111111111111111
"RIPE",0.163265306122449,0.212765957446808,0.340425531914894,0.489795918367347,0.125,0.145833333333333,0.333333333333333,0.458333333333333,0.680851063829787,0.173913043478261,0.217391304347826,0.0638297872340425,0.125,0.808510638297872,0.106382978723404,0.5625,0.422222222222222,0.173913043478261,0.152173913043478,0.1875,0.224489795918367,0.270833333333333,0.3125,0.244897959183674,0.25,0.166666666666667,0.574468085106383,0.122448979591837,0.145833333333333,0.234042553191489,0.723404255319149,0.408163265306122,0.148936170212766,1,0.875,0.106382978723404,0.428571428571429,0.543478260869565,0.0833333333333334,0.51063829787234,0.673469387755102,0.0833333333333334,0.630434782608696,0.543478260869565,0.851063829787234,0.1875,0.234042553191489,0.0816326530612245,0.428571428571429,0.166666666666667,0.702127659574468
