ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,dataset_ID,author,url,typedby,checkedby,notes,Subfamily,Dialect,Source,Chinese_name,Population,SubGroup,time_frame,Type,Coverage,Date,Transcriber,Region,Culture,Description,Orthography,Comment
garlali,Garlali,kala1380,Kalali,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
goorenggooreng,"Gooreng Gooreng",gure1255,"Gureng Gureng",,Australia,-25.3893,151.175,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gudjal,Gudjal,gudj1237,Gudjal,,Australia,-19.44157406,144.6482584,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gumatj,Gumatj,guma1253,Gumatj,,Australia,-12.25254,136.83042,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gumbaynggir,Gumbaynggir,kumb1268,Kumbainggar,,Australia,-29.8189,152.913,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gunditjmara,Gunditjmara,gund1249,Gunditjmara,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gundungurra,Gundungurra,nort2760,"Northern Inland Yui",,Australia,-34.85,149.1,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gunggari,Gunggari,kung1258,Kunggari,,Australia,-24.2182,143.222,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gunya,Gunya,guny1241,Gunya,,Australia,-27.0642,145.862,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gupapuyngu,Gupapuyngu,gupa1247,Gupapuyngu,,Australia,-12.2868,135.337,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gurindji,Gurindji,guri1247,Gurindji,,Australia,-17.0329,130.379,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
guuguyimidhirr,Guugu-Yimidhirr,gugu1255,"Guugu Yimidhirr",,Australia,-14.9424,144.831,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
guwa,Guwa,guwa1242,Guwa,,Australia,-21.35147706,142.5243782,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
guyani,Guyani,guya1249,Guyani,,Australia,-34.739,137.661,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
iyora,Iyora,sydn1236,Sydney,,Australia,-33.52925837,150.3490464,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
jaru,Jaru,jaru1254,Jaru,,Australia,-18.3288,128.262,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
jarumcc,Jaru-McC,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
jiwarli,Jiwarli,djiw1241,Djiwarli,,Australia,-24.10724,116.98858,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
jiwarliny,Jiwarliny,walm1241,Walmajarri,,Australia,-19.7229,126.113,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kaanju,Kaanju,kanj1260,Kanju,,Australia,-13.3243,142.893,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kalkatungu,Kalkatungu,kalk1246,Kalkutung,,Australia,-21.0,139.5,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kamilaroi,Kamilaroi,gami1243,Gamilaraay,,Australia,-29.9037,149.543,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
karajarri,Karajarri,kara1476,Karadjeri,,Australia,-18.6771,122.334,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
karajarrinw,KarajarriNW,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
kariyarra,Kariyarra,kari1304,Kariyarra,,Australia,-20.445,118.613,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
karree,Karree,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
kartujarra,Kartujarra,kart1247,Kartujarra,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
karuwali,Karuwali,karr1236,Karruwali,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
katthang,Katthang,gath1234,Gathang,,,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kaurna,Kaurna,kaur1267,Kaurna,,Australia,-34.34966141,138.4800794,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
keramin,Keramin,nort2756,"Northern Sunraysia",,Australia,-34.190056,142.273631,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kugunganhcara,"Kugu Nganhcara",kuku1280,Kuku-Uwan,,Australia,-14.0756,141.724,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kukatj,Kukatj,guga1239,Gugadj,,Australia,-17.8372,141.168,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kukatja,Kukatja,kuka1246,Kukatja,,Australia,-20.3321,127.666,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kukuyalanji,"Kuku Yalanji",kuku1273,Kuku-Yalanji,,Australia,-16.0036,145.188,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kukuyalanjicurr,KukuYalanjiCurr,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
kungadutyi,Kungadutyi,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
kungkari,Kungkari,kuun1236,"Kuungkari of Barcoo River",,Australia,-24.75108713,143.5365228,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kurnu,Kurnu,kula1275,"Kula (Australia)",,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kurrama,Kurrama,kurr1243,Kurrama,,Australia,-22.2134,117.51,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kurtjar,Kurtjar,gurd1238,Gurdjar,,Australia,-17.1653,141.145,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
kuukuyau,"Kuuku-Ya’u",kuuk1238,"Kuuku-Ya'u",,Australia,-12.4947,143.165,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
linngithigh,Linngithigh,leni1238,Leningitij,,Australia,-12.771375,141.962,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mabuiag,Mabuiag,kala1377,"Kala Lagaw Ya",,Papunesia,-10.6748,142.196,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
malgana,Malgana,malg1242,Malgana,,Australia,-26.211,114.245,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
malngin,Malngin,maln1239,Malngin,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
malyangapa,Malyangapa,maly1234,Malyangapa,,Australia,-29.43,142.0,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
mangalamck,MangalaMcK,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
mangalanw,MangalaNW,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
